aa,Qafár af
mi,Māori
min,Baso Minangkabau
mk,Македонски
ml,മലയാളം
mn,Монгол
mo,Молдовеняскэ
mr,मराठी
mrj,Кырык мары
ms,Bahasa Melayu
mt,Malti
mus,Mvskoke
mwl,Mirandés
my,မြန်မာဘာသာ
myv,Эрзянь
mzn,مازِرونی
na,Dorerin Naoero
nah,Nāhuatl
nan,Bân-lâm-gú
nap,Nnapulitano
nb,‪Norsk (bokmål)‬
nds,Plattdüütsch
nds-nl,Nedersaksisch
ne,नेपाली
new,नेपाल भाषा
ng,Oshiwambo
niu,Niuē
nl,Nederlands
nl-informal,‪Nederlands (informeel)‬
nn,‪Norsk (nynorsk)‬
no,‪Norsk (bokmål)‬
nov,Novial
nrm,Nouormand
nso,Sesotho sa Leboa
nv,Diné bizaad
ny,Chi-Chewa
oc,Occitan
om,Oromoo
or,ଓଡ଼ିଆ
os,Ирон
pa,ਪੰਜਾਬੀ
pag,Pangasinan
pam,Kapampangan
pap,Papiamentu
pcd,Picard
pdc,Deitsch
pdt,Plautdietsch
pfl,Pälzisch
pi,पािऴ
pih,Norfuk / Pitkern
pl,Polski
pms,Piemontèis
pnb,پنجابی
pnt,Ποντιακά
prg,Prūsiskan
ps,پښتو
pt,Português
pt-br,Português do Brasil
qu,Runa Simi
qug,Runa shimi
rgn,Rumagnôl
rif,Tarifit
rm,Rumantsch
rmy,Romani
rn,Kirundi
ro,Română
roa-rup,Armãneashce
roa-tara,Tarandíne
ru,Русский
rue,Русиньскый
rup,Armãneashce
ruq,Vlăheşte
ruq-cyrl,Влахесте
ruq-latn,Vlăheşte
rw,Kinyarwanda
sa,संस्कृत
sah,Саха тыла
sc,Sardu
scn,Sicilianu
sco,Scots
sd,سنڌي
sdc,Sassaresu
se,Sámegiella
sei,Cmique Itom
sg,Sängö
sgs,Žemaitėška
sh,Srpskohrvatski / Српскохрватски
shi,Tašlḥiyt
si,සිංහල
simple,Simple English
sk,Slovenčina
sl,Slovenščina
sli,Schläsch
sm,Gagana Samoa
sma,Åarjelsaemien
sn,chiShona
so,Soomaaliga
sq,Shqip
sr,Српски / Srpski
sr-ec,‪Српски (ћирилица)‬
sr-el,‪Srpski (latinica)‬
srn,Sranantongo
ss,SiSwati
st,Sesotho
stq,Seeltersk
su,Basa Sunda
sv,Svenska
sw,Kiswahili
szl,Ślůnski
ta,தமிழ்
tcy,ತುಳು
te,తెలుగు
tet,Tetun
tg,Тоҷикӣ
tg-cyrl,Тоҷикӣ
tg-latn,tojikī
th,ไทย
ti,ትግርኛ
tk,Türkmençe
tl,Tagalog
tn,Setswana
to,lea faka-Tonga
tokipona,Toki Pona
tpi,Tok Pisin
tr,Türkçe
ts,Xitsonga
tt,Татарча/Tatarça
tt-cyrl,Татарча
tt-latn,Tatarça
tum,chiTumbuka
tw,Twi
ty,Reo Mā`ohi
tyv,Тыва дыл
udm,Удмурт
ug,ئۇيغۇرچە / Uyghurche‎
ug-arab,ئۇيغۇرچە
ug-latn,Uyghurche‎
uk,Українська
ur,اردو
uz,O'zbek
ve,Tshivenda
vec,Vèneto
vep,Vepsan kel'
vi,Tiếng Việt
vls,West-Vlams
vmf,Mainfränkisch
vo,Volapük
vot,Vaďďa
vro,Võro
wa,Walon
war,Winaray
wo,Wolof
wuu,吴语
xal,Хальмг
xh,isiXhosa
xmf,მარგალური
yi,ייִדיש
yo,Yorùbá
yue,粵語
za,Vahcuengh
zea,Zeêuws
zh,中文
zh-classical,文言
zh-cn,‪中文(中国大陆)‬
zh-hans,‪中文(简体)‬
zh-hant,‪中文(繁體)‬
zh-hk,‪中文(香港)‬
zh-min-nan,Bân-lâm-gú
zh-mo,‪中文(澳門)‬
zh-my,‪中文(马来西亚)‬
zh-sg,‪中文(新加坡)‬
zh-tw,‪中文(台灣)‬
zh-yue,粵語
zu,isiZulu
